age,male,female
0,36,35
1,32,26
2,28,24
3,26.429,22.35
4,23.44,21.313
5,21.198,20.406
6,19.464,19.61
7,18.093,18.908
8,16.993,18.286
9,16.099,17.734
10,15.367,17.242
11,14.767,16.804
12,14.275,16.412
13,13.874,16.063
14,13.552,15.753
15,13.3,15.476
16,13.11,15.22
17,12.951,14.973
18,12.855,14.793
19,12.85,14.733
20,12.85,14.733
21,12.85,14.733
22,12.85,14.733
23,12.85,14.733
24,12.85,14.733
25,12.85,14.733
26,12.85,14.733
27,12.85,14.733
28,12.85,14.733
29,12.85,14.733
30,12.851,14.733
31,12.864,14.736
32,12.891,14.748
33,12.932,14.767
34,12.988,14.794
35,13.058,14.83
36,13.144,14.873
37,13.239,14.926
38,13.335,14.987
39,13.433,15.057
40,13.532,15.136
41,13.633,15.224
42,13.735,15.322
43,13.838,15.429
44,13.943,15.548
45,14.05,15.677
46,14.158,15.818
47,14.268,15.971
48,14.38,16.136
49,14.494,16.309
50,14.609,16.486
51,14.726,16.667
52,14.845,16.852
53,14.966,17.043
54,15.089,17.236
55,15.214,17.434
56,15.341,17.636
57,15.471,17.843
58,15.602,18.056
59,15.736,18.273
60,15.872,18.495
61,16.01,18.723
62,16.151,18.957
63,16.295,19.199
64,16.441,19.445
65,16.589,19.697
66,16.74,19.956
67,16.895,20.221
68,17.058,20.494
69,17.239,20.775
70,17.437,21.063
71,17.655,21.359
72,17.893,21.663
73,18.152,21.98
74,18.435,22.303
75,18.743,22.635
76,19.078,22.978
77,19.443,23.331
78,19.841,23.695
79,20.274,24.074
80,20.746,24.502
81,21.261,24.984
82,21.825,25.526
83,22.443,26.137
84,23.121,26.822
85,23.868,27.591
86,24.693,28.459
87,25.608,29.443
88,26.625,30.548
89,27.763,31.808
90,29.04,33.251
91,30.484,34.905
92,32.127,36.815
93,34.01,39.049
94,36.188,41.678
95,38.734,44.809
96,41.745,48.609
97,45.358,53.304
98,49.771,59.194
99,55.275,66.848
100,62.328,77.178
